year,country_id,country,region,latitude,longitude,success,suicide,attack_type,target_type,gname,weapon_type,nperps,nkill,nkillus,nkillter,nwound
2014,95,Iraq,Middle East & North Africa,35.139668,44.13372,1,1,Bombing/Explosion,Military,Unknown,Explosives/Bombs/Dynamite,-99,3,0,1,11
2014,95,Iraq,Middle East & North Africa,33.280482,44.325234,1,0,Bombing/Explosion,Private Citizens & Property,Islamic State of Iraq and the Levant (ISIL),Explosives/Bombs/Dynamite,-99,0,0,0,1
2014,95,Iraq,Middle East & North Africa,33.192554,44.410383,1,0,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite,-99,1,0,0,3
2014,95,Iraq,Middle East & North Africa,36.34,43.13,1,0,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,4
2014,95,Iraq,Middle East & North Africa,35.992926,43.221056,1,0,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite,-99,1,0,0,0
2014,95,Iraq,Middle East & North Africa,33.462707,44.157787,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,2,0,0,7
2014,95,Iraq,Middle East & North Africa,36.368309,43.136987,1,0,Armed Assault,Government (General),Unknown,Firearms,-99,1,0,0,0
2014,95,Iraq,Middle East & North Africa,36.34723,43.143275,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,1,0,0,0
2014,214,Ukraine,Eastern Europe,48.743786,37.576543,1,0,Armed Assault,Military,Donetsk People's Republic,Explosives/Bombs/Dynamite,30,7,0,1,11
2014,200,Syria,Middle East & North Africa,35.648056,36.677354,1,0,Bombing/Explosion,Military,Free Syrian Army,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,200,Syria,Middle East & North Africa,33.512489,36.316139,1,0,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,6
2014,153,Pakistan,South Asia,33.955099,71.432945,1,0,Bombing/Explosion,Telecommunication,Unknown,Explosives/Bombs/Dynamite,-99,0,0,0,0
2014,44,China,East Asia,37.05852,79.456966,1,0,Bombing/Explosion,Police,Unknown,Explosives/Bombs/Dynamite,3,0,0,0,2
2014,4,Afghanistan,South Asia,32.106111,66.906944,1,1,Bombing/Explosion,Police,Taliban,Explosives/Bombs/Dynamite,1,1,0,1,6
2014,4,Afghanistan,South Asia,33.550053,68.416567,1,0,Bombing/Explosion,Private Citizens & Property,Taliban,Explosives/Bombs/Dynamite,-99,0,0,0,8
